Timestamp,Location,Latitude,Longitude,Traffic Volume,Avg Speed (km/h),Weather,Rain(mm),Accident,Event,Public Transport Density,Congestion Level
2026-05-01 04:40,India Gate,28.6129,77.2295,572,20,Heavy Rain,7,No,No,84,High
2026-05-01 04:50,Dwarka Sector 21,28.5511,77.0565,488,38,Cloudy,0,No,Yes,55,Medium
2026-05-01 05:00,Sector 62 Noida,28.628,77.3649,676,13,Rain,4,No,No,99,Very High
2026-05-01 05:10,Greater Noida West,28.59,77.43,58,52,Cloudy,0,Yes,No,60,Low
2026-05-01 05:20,DND Flyway,28.5942,77.3053,774,19,Cloudy,0,No,No,55,Very High
2026-05-01 05:30,Akshardham Route,28.6127,77.2773,304,38,Rain,11,No,No,49,Medium
2026-05-01 05:40,Botanical Garden,28.5636,77.334,355,47,Fog,0,No,No,32,Low
2026-05-01 05:50,DND Flyway,28.5942,77.3053,437,29,Heavy Rain,19,No,Yes,15,Medium
2026-05-01 06:00,DND Flyway,28.5942,77.3053,568,33,Cloudy,0,No,No,84,Medium
2026-05-01 06:10,Sector 18 Noida,28.5706,77.324,518,21,Fog,0,Yes,No,57,High
2026-05-01 06:20,Lajpat Nagar,28.5677,77.243,485,38,Cloudy,0,No,No,55,Medium
2026-05-01 06:30,MG Road Gurgaon,28.4794,77.0806,58,67,Clear,0,No,Yes,45,Low
2026-05-01 06:40,Cyber Hub Gurgaon,28.4959,77.0882,525,8,Rain,6,Yes,No,52,Very High
2026-05-01 06:50,MG Road Gurgaon,28.4794,77.0806,125,50,Rain,1,No,Yes,42,Low
2026-05-01 07:00,Lajpat Nagar,28.5677,77.243,130,62,Clear,0,No,No,90,Low
2026-05-01 07:10,Greater Noida West,28.59,77.43,659,5,Rain,8,Yes,Yes,71,Very High
2026-05-01 07:20,Sector 62 Noida,28.628,77.3649,224,56,Cloudy,0,No,No,10,Low
2026-05-01 07:30,Botanical Garden,28.5636,77.334,804,5,Clear,0,Yes,No,49,Very High
2026-05-01 07:40,Sector 62 Noida,28.628,77.3649,763,8,Rain,8,No,No,34,Very High
2026-05-01 07:50,Sector 62 Noida,28.628,77.3649,330,36,Heavy Rain,14,No,No,34,Medium
2026-05-01 08:00,Vaishali Ghaziabad,28.646,77.339,85,50,Fog,0,Yes,No,93,Low
2026-05-01 08:10,Vaishali Ghaziabad,28.646,77.339,706,11,Heavy Rain,1,No,No,26,Very High
2026-05-01 08:20,Pari Chowk,28.4671,77.503,141,34,Rain,10,Yes,No,49,Medium
2026-05-01 08:30,Botanical Garden,28.5636,77.334,524,36,Clear,0,No,No,38,Medium
2026-05-01 08:40,Sector 62 Noida,28.628,77.3649,800,17,Clear,0,No,No,79,Very High
2026-05-01 08:50,Botanical Garden,28.5636,77.334,592,16,Cloudy,0,Yes,No,24,High
2026-05-01 09:00,IGI Airport T3,28.5562,77.1,365,31,Clear,0,Yes,No,23,Medium
2026-05-01 09:10,Cyber Hub Gurgaon,28.4959,77.0882,717,11,Heavy Rain,18,No,No,93,Very High
2026-05-01 09:20,Akshardham Route,28.6127,77.2773,720,7,Clear,0,Yes,Yes,86,Very High
2026-05-01 09:30,Sector 62 Noida,28.628,77.3649,311,50,Fog,0,No,No,66,Low
2026-05-01 09:40,Botanical Garden,28.5636,77.334,230,55,Cloudy,0,No,Yes,54,Low
2026-05-01 09:50,Cyber Hub Gurgaon,28.4959,77.0882,546,34,Fog,0,No,No,89,Medium
2026-05-01 10:00,Karol Bagh,28.6519,77.1909,176,32,Rain,13,Yes,No,94,Medium
2026-05-01 10:10,Lajpat Nagar,28.5677,77.243,614,15,Cloudy,0,Yes,No,85,High
2026-05-01 10:20,IGI Airport T3,28.5562,77.1,358,32,Cloudy,0,Yes,No,24,Medium
2026-05-01 10:30,Dwarka Sector 21,28.5511,77.0565,876,12,Clear,0,No,No,55,Very High
2026-05-01 10:40,India Gate,28.6129,77.2295,383,45,Fog,0,No,No,87,Low
2026-05-01 10:50,Greater Noida West,28.59,77.43,611,30,Clear,0,No,No,85,Medium
2026-05-01 11:00,Cyber Hub Gurgaon,28.4959,77.0882,712,23,Fog,0,No,No,23,Very High
2026-05-01 11:10,India Gate,28.6129,77.2295,292,24,Heavy Rain,10,Yes,No,25,High
2026-05-01 11:20,Akshardham Route,28.6127,77.2773,303,35,Clear,0,Yes,No,47,Medium
2026-05-01 11:30,India Gate,28.6129,77.2295,338,48,Clear,0,No,No,53,Low
2026-05-01 11:40,Pari Chowk,28.4671,77.503,557,33,Cloudy,0,No,No,68,Medium
2026-05-01 11:50,Sector 18 Noida,28.5706,77.324,212,41,Cloudy,0,Yes,No,53,Low
2026-05-01 12:00,Sector 62 Noida,28.628,77.3649,533,8,Heavy Rain,17,Yes,Yes,91,Very High
2026-05-01 12:10,Botanical Garden,28.5636,77.334,539,35,Clear,0,No,No,61,Medium
2026-05-01 12:20,Sector 62 Noida,28.628,77.3649,625,17,Rain,16,No,Yes,46,High
2026-05-01 12:30,Connaught Place,28.6315,77.2167,785,5,Cloudy,0,Yes,No,63,Very High
2026-05-01 12:40,Connaught Place,28.6315,77.2167,206,42,Fog,0,Yes,No,90,Low
2026-05-01 12:50,Vaishali Ghaziabad,28.646,77.339,133,62,Cloudy,0,No,No,44,Low
2026-05-01 13:00,DND Flyway,28.5942,77.3053,413,16,Heavy Rain,8,Yes,No,73,High
2026-05-01 13:10,DND Flyway,28.5942,77.3053,337,33,Cloudy,0,Yes,No,30,Medium
2026-05-01 13:20,Lajpat Nagar,28.5677,77.243,818,16,Cloudy,0,No,No,70,Very High
2026-05-01 13:30,Connaught Place,28.6315,77.2167,246,54,Fog,0,No,No,33,Low
2026-05-01 13:40,India Gate,28.6129,77.2295,101,52,Rain,18,No,No,21,Low
2026-05-01 13:50,Botanical Garden,28.5636,77.334,799,17,Fog,0,No,No,37,Very High
2026-05-01 14:00,IGI Airport T3,28.5562,77.1,250,39,Fog,0,Yes,Yes,28,Medium
2026-05-01 14:10,Karol Bagh,28.6519,77.1909,402,32,Heavy Rain,5,No,Yes,24,Medium
2026-05-01 14:20,Karol Bagh,28.6519,77.1909,724,5,Heavy Rain,14,Yes,No,86,Very High
2026-05-01 14:30,DND Flyway,28.5942,77.3053,734,10,Rain,19,No,No,11,Very High
2026-05-01 14:40,Lajpat Nagar,28.5677,77.243,264,26,Rain,5,Yes,No,73,Medium
2026-05-01 14:50,Cyber Hub Gurgaon,28.4959,77.0882,852,14,Fog,0,No,No,13,Very High
2026-05-01 15:00,Karol Bagh,28.6519,77.1909,817,5,Fog,0,Yes,No,36,Very High
2026-05-01 15:10,Connaught Place,28.6315,77.2167,479,12,Heavy Rain,9,Yes,Yes,100,Very High
2026-05-01 15:20,MG Road Gurgaon,28.4794,77.0806,825,5,Heavy Rain,18,No,Yes,11,Very High
2026-05-01 15:30,Cyber Hub Gurgaon,28.4959,77.0882,212,56,Clear,0,No,No,66,Low
2026-05-01 15:40,DND Flyway,28.5942,77.3053,279,52,Cloudy,0,No,No,13,Low
2026-05-01 15:50,Vaishali Ghaziabad,28.646,77.339,638,13,Cloudy,0,Yes,Yes,66,Very High
2026-05-01 16:00,Botanical Garden,28.5636,77.334,107,51,Heavy Rain,20,No,No,79,Low
2026-05-01 16:10,Dwarka Sector 21,28.5511,77.0565,77,38,Rain,19,Yes,Yes,28,Medium
2026-05-01 16:20,DND Flyway,28.5942,77.3053,656,27,Cloudy,0,No,No,32,Medium
2026-05-01 16:30,Karol Bagh,28.6519,77.1909,856,5,Rain,20,Yes,Yes,91,Very High
2026-05-01 16:40,Vaishali Ghaziabad,28.646,77.339,806,17,Fog,0,No,No,53,Very High
2026-05-01 16:50,Sector 18 Noida,28.5706,77.324,288,39,Heavy Rain,7,No,Yes,25,Medium
2026-05-01 17:00,Cyber Hub Gurgaon,28.4959,77.0882,199,57,Cloudy,0,No,No,12,Low
2026-05-01 17:10,MG Road Gurgaon,28.4794,77.0806,703,24,Fog,0,No,No,50,Very High
2026-05-01 17:20,Pari Chowk,28.4671,77.503,539,20,Cloudy,0,Yes,No,69,High
2026-05-01 17:30,Sector 18 Noida,28.5706,77.324,873,5,Rain,6,No,No,25,Very High
2026-05-01 17:40,Sector 62 Noida,28.628,77.3649,517,21,Fog,0,Yes,No,36,High
2026-05-01 17:50,MG Road Gurgaon,28.4794,77.0806,464,25,Cloudy,0,Yes,No,57,Medium
2026-05-01 18:00,Sector 18 Noida,28.5706,77.324,456,28,Rain,4,No,No,72,Medium
2026-05-01 18:10,MG Road Gurgaon,28.4794,77.0806,325,37,Rain,19,No,No,52,Medium
2026-05-01 18:20,Karol Bagh,28.6519,77.1909,899,5,Rain,12,Yes,No,66,Very High
2026-05-01 18:30,Karol Bagh,28.6519,77.1909,813,5,Rain,8,Yes,Yes,33,Very High
2026-05-01 18:40,Dwarka Sector 21,28.5511,77.0565,373,34,Heavy Rain,12,No,No,89,Medium
2026-05-01 18:50,Greater Noida West,28.59,77.43,787,5,Rain,8,Yes,No,52,Very High
2026-05-01 19:00,Lajpat Nagar,28.5677,77.243,257,53,Cloudy,0,No,No,29,Low
2026-05-01 19:10,DND Flyway,28.5942,77.3053,347,35,Heavy Rain,11,No,Yes,36,Medium
2026-05-01 19:20,Sector 62 Noida,28.628,77.3649,345,47,Cloudy,0,No,No,16,Low
2026-05-01 19:30,MG Road Gurgaon,28.4794,77.0806,305,38,Heavy Rain,16,No,No,30,Medium
2026-05-01 19:40,Pari Chowk,28.4671,77.503,548,34,Clear,0,No,No,13,Medium
2026-05-01 19:50,Pari Chowk,28.4671,77.503,494,26,Heavy Rain,2,No,No,87,Medium
2026-05-01 20:00,Lajpat Nagar,28.5677,77.243,407,43,Fog,0,No,Yes,22,Low
2026-05-01 20:10,Pari Chowk,28.4671,77.503,674,26,Cloudy,0,No,No,49,Medium
2026-05-01 20:20,Pari Chowk,28.4671,77.503,413,43,Fog,0,No,No,73,Low
2026-05-01 20:30,MG Road Gurgaon,28.4794,77.0806,786,6,Rain,10,No,No,17,Very High
2026-05-01 20:40,Sector 18 Noida,28.5706,77.324,560,21,Rain,1,No,No,45,High
2026-05-01 20:50,Sector 18 Noida,28.5706,77.324,241,54,Fog,0,No,No,38,Low
2026-05-01 21:00,Botanical Garden,28.5636,77.334,402,44,Cloudy,0,No,No,17,Low
2026-05-01 21:10,Sector 62 Noida,28.628,77.3649,646,27,Clear,0,No,No,36,Medium
2026-05-01 21:20,Cyber Hub Gurgaon,28.4959,77.0882,662,26,Cloudy,0,No,No,20,Medium
2026-05-01 21:30,Dwarka Sector 21,28.5511,77.0565,204,57,Fog,0,No,Yes,87,Low
2026-05-01 21:40,Akshardham Route,28.6127,77.2773,894,5,Heavy Rain,13,No,No,27,Very High
2026-05-01 21:50,India Gate,28.6129,77.2295,316,34,Clear,0,Yes,No,15,Medium
2026-05-01 22:00,Vaishali Ghaziabad,28.646,77.339,647,27,Cloudy,0,No,No,77,Medium
2026-05-01 22:10,Connaught Place,28.6315,77.2167,642,13,Cloudy,0,Yes,No,42,Very High
2026-05-01 22:20,Karol Bagh,28.6519,77.1909,115,63,Fog,0,No,No,32,Low
2026-05-01 22:30,MG Road Gurgaon,28.4794,77.0806,407,31,Rain,14,No,No,28,Medium
2026-05-01 22:40,DND Flyway,28.5942,77.3053,732,22,Fog,0,No,No,93,Very High
2026-05-01 22:50,Sector 18 Noida,28.5706,77.324,555,33,Fog,0,No,No,23,Medium
2026-05-01 23:00,Akshardham Route,28.6127,77.2773,890,5,Rain,20,Yes,No,88,Very High
2026-05-01 23:10,DND Flyway,28.5942,77.3053,801,5,Heavy Rain,3,No,No,77,Very High
2026-05-01 23:20,India Gate,28.6129,77.2295,868,5,Heavy Rain,12,No,No,85,Very High
2026-05-01 23:30,Akshardham Route,28.6127,77.2773,448,29,Heavy Rain,11,No,Yes,67,Medium
2026-05-01 23:40,DND Flyway,28.5942,77.3053,213,56,Cloudy,0,No,No,59,Low
2026-05-01 23:50,Sector 62 Noida,28.628,77.3649,510,24,Heavy Rain,7,No,No,70,High
2026-05-02 00:00,Sector 62 Noida,28.628,77.3649,820,16,Cloudy,0,No,Yes,55,Very High
2026-05-02 00:10,Sector 18 Noida,28.5706,77.324,574,32,Clear,0,No,Yes,47,Medium
2026-05-02 00:20,Sector 62 Noida,28.628,77.3649,697,5,Heavy Rain,6,Yes,No,39,Very High
2026-05-02 00:30,Botanical Garden,28.5636,77.334,602,30,Clear,0,No,No,30,Medium
2026-05-02 00:40,Pari Chowk,28.4671,77.503,378,18,Rain,19,Yes,No,16,High
2026-05-02 00:50,Dwarka Sector 21,28.5511,77.0565,896,11,Cloudy,0,No,No,16,Very High
2026-05-02 01:00,Connaught Place,28.6315,77.2167,64,39,Rain,4,Yes,Yes,43,Medium
2026-05-02 01:10,Connaught Place,28.6315,77.2167,845,14,Clear,0,No,No,33,Very High
2026-05-02 01:20,Vaishali Ghaziabad,28.646,77.339,724,22,Clear,0,No,No,68,Very High
2026-05-02 01:30,Vaishali Ghaziabad,28.646,77.339,126,62,Cloudy,0,No,Yes,48,Low
2026-05-02 01:40,Botanical Garden,28.5636,77.334,489,11,Rain,19,Yes,No,26,Very High
2026-05-02 01:50,Akshardham Route,28.6127,77.2773,425,42,Clear,0,No,No,37,Low
2026-05-02 02:00,DND Flyway,28.5942,77.3053,666,11,Clear,0,Yes,No,53,Very High
2026-05-02 02:10,Sector 18 Noida,28.5706,77.324,663,26,Fog,0,No,Yes,26,Medium
2026-05-02 02:20,India Gate,28.6129,77.2295,397,32,Heavy Rain,8,No,Yes,65,Medium
2026-05-02 02:30,Karol Bagh,28.6519,77.1909,845,14,Fog,0,No,No,76,Very High
2026-05-02 02:40,Connaught Place,28.6315,77.2167,329,49,Clear,0,No,No,69,Low
2026-05-02 02:50,Dwarka Sector 21,28.5511,77.0565,787,6,Heavy Rain,12,No,Yes,89,Very High
2026-05-02 03:00,Pari Chowk,28.4671,77.503,787,18,Cloudy,0,No,No,34,Very High
2026-05-02 03:10,Pari Chowk,28.4671,77.503,423,27,Clear,0,Yes,No,69,Medium
2026-05-02 03:20,Sector 62 Noida,28.628,77.3649,835,15,Cloudy,0,No,Yes,83,Very High
2026-05-02 03:30,Greater Noida West,28.59,77.43,714,11,Rain,14,No,No,76,Very High
2026-05-02 03:40,Pari Chowk,28.4671,77.503,52,52,Fog,0,Yes,No,88,Low
2026-05-02 03:50,Cyber Hub Gurgaon,28.4959,77.0882,492,26,Heavy Rain,17,No,No,71,Medium
2026-05-02 04:00,Akshardham Route,28.6127,77.2773,530,35,Fog,0,No,No,49,Medium
2026-05-02 04:10,Sector 18 Noida,28.5706,77.324,545,22,Heavy Rain,4,No,Yes,16,High
2026-05-02 04:20,Vaishali Ghaziabad,28.646,77.339,316,22,Heavy Rain,15,Yes,Yes,18,High
2026-05-02 04:30,Lajpat Nagar,28.5677,77.243,464,13,Heavy Rain,3,Yes,No,70,Very High
2026-05-02 04:40,IGI Airport T3,28.5562,77.1,163,60,Fog,0,No,No,26,Low
2026-05-02 04:50,Lajpat Nagar,28.5677,77.243,199,57,Fog,0,No,No,76,Low
2026-05-02 05:00,Vaishali Ghaziabad,28.646,77.339,776,19,Cloudy,0,No,No,53,Very High
2026-05-02 05:10,Greater Noida West,28.59,77.43,687,5,Heavy Rain,13,Yes,Yes,18,Very High
2026-05-02 05:20,Sector 62 Noida,28.628,77.3649,900,10,Cloudy,0,No,Yes,84,Very High
2026-05-02 05:30,Connaught Place,28.6315,77.2167,770,19,Cloudy,0,No,No,57,Very High
2026-05-02 05:40,Akshardham Route,28.6127,77.2773,503,37,Fog,0,No,No,33,Medium
2026-05-02 05:50,Karol Bagh,28.6519,77.1909,842,5,Heavy Rain,9,No,Yes,75,Very High
2026-05-02 06:00,Lajpat Nagar,28.5677,77.243,188,31,Rain,9,Yes,No,39,Medium
2026-05-02 06:10,IGI Airport T3,28.5562,77.1,533,35,Cloudy,0,No,Yes,67,Medium
2026-05-02 06:20,Akshardham Route,28.6127,77.2773,657,27,Cloudy,0,No,No,96,Medium
2026-05-02 06:30,IGI Airport T3,28.5562,77.1,667,26,Fog,0,No,No,88,Medium
2026-05-02 06:40,Sector 62 Noida,28.628,77.3649,322,37,Heavy Rain,4,No,No,52,Medium
2026-05-02 06:50,Karol Bagh,28.6519,77.1909,442,29,Heavy Rain,9,No,Yes,80,Medium
2026-05-02 07:00,Botanical Garden,28.5636,77.334,222,44,Rain,16,No,Yes,12,Low
2026-05-02 07:10,India Gate,28.6129,77.2295,153,48,Heavy Rain,2,No,Yes,19,Low
2026-05-02 07:20,DND Flyway,28.5942,77.3053,548,34,Cloudy,0,No,Yes,82,Medium
2026-05-02 07:30,Dwarka Sector 21,28.5511,77.0565,501,37,Clear,0,No,No,93,Medium
2026-05-02 07:40,Greater Noida West,28.59,77.43,228,28,Heavy Rain,3,Yes,No,11,Medium
2026-05-02 07:50,Vaishali Ghaziabad,28.646,77.339,354,47,Fog,0,No,Yes,99,Low
2026-05-02 08:00,IGI Airport T3,28.5562,77.1,413,31,Heavy Rain,7,No,No,35,Medium
2026-05-02 08:10,Akshardham Route,28.6127,77.2773,828,5,Rain,7,No,No,86,Very High
2026-05-02 08:20,Sector 18 Noida,28.5706,77.324,609,18,Rain,4,No,No,65,High
2026-05-02 08:30,Connaught Place,28.6315,77.2167,590,31,Fog,0,No,No,10,Medium
2026-05-02 08:40,Vaishali Ghaziabad,28.646,77.339,702,12,Rain,3,No,No,51,Very High
2026-05-02 08:50,Pari Chowk,28.4671,77.503,647,27,Cloudy,0,No,No,60,Medium
2026-05-02 09:00,MG Road Gurgaon,28.4794,77.0806,247,54,Clear,0,No,No,53,Low
2026-05-02 09:10,Lajpat Nagar,28.5677,77.243,729,7,Cloudy,0,Yes,Yes,91,Very High
2026-05-02 09:20,Dwarka Sector 21,28.5511,77.0565,423,27,Cloudy,0,Yes,No,90,Medium
2026-05-02 09:30,Dwarka Sector 21,28.5511,77.0565,644,28,Cloudy,0,No,No,99,Medium
2026-05-02 09:40,Vaishali Ghaziabad,28.646,77.339,417,28,Clear,0,Yes,No,77,Medium
2026-05-02 09:50,Karol Bagh,28.6519,77.1909,854,14,Fog,0,No,No,91,Very High
2026-05-02 10:00,India Gate,28.6129,77.2295,265,53,Fog,0,No,No,27,Low
2026-05-02 10:10,Cyber Hub Gurgaon,28.4959,77.0882,856,5,Rain,18,Yes,Yes,97,Very High
2026-05-02 10:20,Vaishali Ghaziabad,28.646,77.339,465,39,Cloudy,0,No,No,19,Medium
2026-05-02 10:30,Cyber Hub Gurgaon,28.4959,77.0882,356,47,Clear,0,No,Yes,30,Low
2026-05-02 10:40,DND Flyway,28.5942,77.3053,767,19,Fog,0,No,No,86,Very High
2026-05-02 10:50,India Gate,28.6129,77.2295,434,42,Cloudy,0,No,No,77,Low
2026-05-02 11:00,IGI Airport T3,28.5562,77.1,739,21,Cloudy,0,No,No,32,Very High
2026-05-02 11:10,DND Flyway,28.5942,77.3053,358,32,Clear,0,Yes,No,16,Medium
2026-05-02 11:20,Botanical Garden,28.5636,77.334,438,41,Clear,0,No,Yes,92,Low
2026-05-02 11:30,India Gate,28.6129,77.2295,603,30,Clear,0,No,No,11,Medium
2026-05-02 11:40,Dwarka Sector 21,28.5511,77.0565,709,23,Cloudy,0,No,No,78,Very High
2026-05-02 11:50,Botanical Garden,28.5636,77.334,76,53,Heavy Rain,10,No,Yes,35,Low
2026-05-02 12:00,Botanical Garden,28.5636,77.334,164,60,Clear,0,No,No,57,Low
2026-05-02 12:10,Akshardham Route,28.6127,77.2773,323,49,Cloudy,0,No,No,44,Low
2026-05-02 12:20,Dwarka Sector 21,28.5511,77.0565,477,39,Cloudy,0,No,Yes,86,Medium
2026-05-02 12:30,Karol Bagh,28.6519,77.1909,477,24,Clear,0,Yes,No,39,High
2026-05-02 12:40,Dwarka Sector 21,28.5511,77.0565,816,16,Clear,0,No,Yes,70,Very High
2026-05-02 12:50,IGI Airport T3,28.5562,77.1,667,26,Cloudy,0,No,Yes,64,Medium
2026-05-02 13:00,Vaishali Ghaziabad,28.646,77.339,223,44,Rain,13,No,No,99,Low
2026-05-02 13:10,IGI Airport T3,28.5562,77.1,172,47,Heavy Rain,12,No,No,30,Low
2026-05-02 13:20,DND Flyway,28.5942,77.3053,708,5,Rain,16,Yes,Yes,66,Very High
2026-05-02 13:30,Connaught Place,28.6315,77.2167,252,54,Fog,0,No,No,86,Low
2026-05-02 13:40,Cyber Hub Gurgaon,28.4959,77.0882,363,34,Rain,3,No,Yes,30,Medium
2026-05-02 13:50,IGI Airport T3,28.5562,77.1,679,25,Fog,0,No,No,17,Medium
2026-05-02 14:00,Karol Bagh,28.6519,77.1909,184,58,Cloudy,0,No,No,50,Low
2026-05-02 14:10,Greater Noida West,28.59,77.43,348,47,Fog,0,No,No,15,Low
2026-05-02 14:20,Greater Noida West,28.59,77.43,778,7,Heavy Rain,18,No,No,34,Very High
2026-05-02 14:30,MG Road Gurgaon,28.4794,77.0806,97,37,Heavy Rain,18,Yes,No,72,Medium
2026-05-02 14:40,Greater Noida West,28.59,77.43,647,15,Rain,16,No,No,26,High
2026-05-02 14:50,Cyber Hub Gurgaon,28.4959,77.0882,271,37,Clear,0,Yes,No,86,Medium
2026-05-02 15:00,Pari Chowk,28.4671,77.503,335,33,Fog,0,Yes,No,22,Medium
2026-05-02 15:10,IGI Airport T3,28.5562,77.1,875,12,Fog,0,No,No,58,Very High
2026-05-02 15:20,MG Road Gurgaon,28.4794,77.0806,542,34,Cloudy,0,No,No,59,Medium
2026-05-02 15:30,MG Road Gurgaon,28.4794,77.0806,351,35,Rain,20,No,Yes,36,Medium
2026-05-02 15:40,Sector 62 Noida,28.628,77.3649,654,5,Rain,8,Yes,Yes,89,Very High
2026-05-02 15:50,India Gate,28.6129,77.2295,672,14,Heavy Rain,1,No,No,85,Very High
2026-05-02 16:00,Connaught Place,28.6315,77.2167,568,33,Fog,0,No,No,46,Medium
2026-05-02 16:10,Botanical Garden,28.5636,77.334,498,22,Clear,0,Yes,No,14,High
2026-05-02 16:20,Sector 62 Noida,28.628,77.3649,139,61,Clear,0,No,No,18,Low
2026-05-02 16:30,India Gate,28.6129,77.2295,380,30,Cloudy,0,Yes,No,30,Medium
2026-05-02 16:40,Sector 62 Noida,28.628,77.3649,352,20,Rain,17,Yes,No,30,High
2026-05-02 16:50,Sector 18 Noida,28.5706,77.324,355,47,Clear,0,No,No,72,Low
2026-05-02 17:00,Sector 62 Noida,28.628,77.3649,121,35,Heavy Rain,3,Yes,No,96,Medium
2026-05-02 17:10,Pari Chowk,28.4671,77.503,894,5,Rain,17,No,No,50,Very High
2026-05-02 17:20,DND Flyway,28.5942,77.3053,839,15,Cloudy,0,No,No,83,Very High
2026-05-02 17:30,Lajpat Nagar,28.5677,77.243,714,5,Rain,19,Yes,No,27,Very High
2026-05-02 17:40,Botanical Garden,28.5636,77.334,523,36,Cloudy,0,No,No,100,Medium
2026-05-02 17:50,Dwarka Sector 21,28.5511,77.0565,330,33,Cloudy,0,Yes,No,33,Medium
2026-05-02 18:00,Connaught Place,28.6315,77.2167,689,13,Heavy Rain,18,No,No,98,Very High
2026-05-02 18:10,Cyber Hub Gurgaon,28.4959,77.0882,470,39,Cloudy,0,No,No,56,Medium
2026-05-02 18:20,India Gate,28.6129,77.2295,162,48,Heavy Rain,3,No,Yes,71,Low
2026-05-02 18:30,Connaught Place,28.6315,77.2167,376,45,Cloudy,0,No,No,41,Low
2026-05-02 18:40,Sector 18 Noida,28.5706,77.324,265,53,Clear,0,No,Yes,99,Low
2026-05-02 18:50,DND Flyway,28.5942,77.3053,268,53,Clear,0,No,No,29,Low
2026-05-02 19:00,Vaishali Ghaziabad,28.646,77.339,483,23,Fog,0,Yes,No,82,High
2026-05-02 19:10,Connaught Place,28.6315,77.2167,252,42,Rain,17,No,No,23,Low
2026-05-02 19:20,India Gate,28.6129,77.2295,484,23,Clear,0,Yes,No,79,High
2026-05-02 19:30,Greater Noida West,28.59,77.43,218,56,Clear,0,No,No,18,Low
2026-05-02 19:40,India Gate,28.6129,77.2295,109,63,Clear,0,No,No,94,Low
2026-05-02 19:50,Connaught Place,28.6315,77.2167,54,55,Rain,13,No,No,72,Low
2026-05-02 20:00,Sector 62 Noida,28.628,77.3649,755,5,Cloudy,0,Yes,No,76,Very High
2026-05-02 20:10,Cyber Hub Gurgaon,28.4959,77.0882,506,10,Rain,2,Yes,No,55,Very High
2026-05-02 20:20,IGI Airport T3,28.5562,77.1,817,5,Fog,0,Yes,No,10,Very High
2026-05-02 20:30,Cyber Hub Gurgaon,28.4959,77.0882,776,19,Fog,0,No,No,62,Very High
2026-05-02 20:40,India Gate,28.6129,77.2295,713,23,Cloudy,0,No,No,83,Very High
