timestamp,temperature_celsius,precipitation_mm,visibility_km,condition
2023-10-04 21:00:00,31.3,0.0,5.8,Clear
2023-10-04 22:00:00,35.8,0.0,8.3,Clear
2023-10-04 23:00:00,29.0,0.0,9.8,Clear
2023-10-05 00:00:00,35.6,0.0,7.1,Overcast
2023-10-05 01:00:00,32.2,0.0,6.8,Clear
2023-10-05 02:00:00,27.2,0.0,7.4,Overcast
2023-10-05 03:00:00,30.9,0.0,7.5,Clear
2023-10-05 04:00:00,25.7,0.0,7.0,Clear
2023-10-05 05:00:00,18.8,0.0,8.2,Partly Cloudy
2023-10-05 06:00:00,34.2,0.0,7.5,Clear
2023-10-05 07:00:00,14.8,5.4,5.8,Heavy Rain
2023-10-05 08:00:00,26.0,0.0,7.9,Clear
2023-10-05 09:00:00,25.3,0.0,1.4,Fog
2023-10-05 10:00:00,23.9,0.0,7.7,Clear
2023-10-05 11:00:00,35.6,0.0,1.1,Fog
2023-10-05 12:00:00,22.6,0.0,1.0,Fog
2023-10-05 13:00:00,23.0,0.1,9.1,Light Rain
2023-10-05 14:00:00,28.8,0.0,8.1,Clear
2023-10-05 15:00:00,18.5,6.6,9.0,Heavy Rain
2023-10-05 16:00:00,29.8,0.0,9.0,Clear
2023-10-05 17:00:00,21.4,0.0,1.1,Fog
2023-10-05 18:00:00,23.7,0.0,9.7,Clear
2023-10-05 19:00:00,27.8,2.8,8.8,Heavy Rain
2023-10-05 20:00:00,31.5,0.0,6.6,Overcast
2023-10-05 21:00:00,22.1,2.5,5.1,Heavy Rain
2023-10-05 22:00:00,23.6,0.0,1.9,Fog
2023-10-05 23:00:00,21.9,0.0,1.4,Fog
2023-10-06 00:00:00,16.0,0.0,6.6,Partly Cloudy
2023-10-06 01:00:00,22.8,0.0,8.8,Partly Cloudy
2023-10-06 02:00:00,21.5,0.0,7.7,Overcast
2023-10-06 03:00:00,27.0,0.0,9.4,Clear
2023-10-06 04:00:00,30.1,0.0,5.5,Clear
2023-10-06 05:00:00,33.8,0.0,8.5,Clear
2023-10-06 06:00:00,29.8,0.0,5.4,Clear
2023-10-06 07:00:00,31.4,0.0,9.9,Clear
2023-10-06 08:00:00,32.8,0.0,9.7,Clear
2023-10-06 09:00:00,22.6,0.0,1.6,Fog
2023-10-06 10:00:00,16.8,0.0,9.5,Clear
2023-10-06 11:00:00,34.9,0.0,7.5,Clear
2023-10-06 12:00:00,23.6,0.0,5.6,Clear
2023-10-06 13:00:00,26.8,0.0,8.2,Clear
2023-10-06 14:00:00,27.5,0.0,6.9,Overcast
2023-10-06 15:00:00,27.4,0.0,9.3,Clear
2023-10-06 16:00:00,27.3,0.0,10.0,Clear
2023-10-06 17:00:00,31.9,0.0,7.8,Clear
2023-10-06 18:00:00,36.4,0.0,1.5,Fog
2023-10-06 19:00:00,29.0,0.0,8.1,Clear
2023-10-06 20:00:00,24.4,0.0,8.1,Partly Cloudy
2023-10-06 21:00:00,31.9,0.0,5.9,Clear
2023-10-06 22:00:00,32.2,0.0,5.4,Clear
2023-10-06 23:00:00,15.9,0.0,2.0,Fog
2023-10-07 00:00:00,15.4,0.0,9.1,Partly Cloudy
2023-10-07 01:00:00,26.8,0.0,5.8,Partly Cloudy
2023-10-07 02:00:00,28.7,0.0,1.1,Fog
2023-10-07 03:00:00,32.4,0.0,1.8,Fog
2023-10-07 04:00:00,26.6,0.0,9.1,Clear
2023-10-07 05:00:00,23.6,0.0,0.7,Fog
2023-10-07 06:00:00,26.7,0.0,9.2,Partly Cloudy
2023-10-07 07:00:00,21.6,3.2,7.1,Light Rain
2023-10-07 08:00:00,27.0,0.0,8.8,Clear
2023-10-07 09:00:00,25.2,0.0,1.8,Fog
2023-10-07 10:00:00,21.7,0.0,9.8,Clear
2023-10-07 11:00:00,24.3,0.0,6.1,Partly Cloudy
2023-10-07 12:00:00,17.3,0.0,5.6,Partly Cloudy
2023-10-07 13:00:00,31.4,0.0,7.6,Partly Cloudy
2023-10-07 14:00:00,30.9,0.0,7.8,Overcast
2023-10-07 15:00:00,25.3,0.0,9.4,Partly Cloudy
2023-10-07 16:00:00,30.2,0.0,8.5,Clear
2023-10-07 17:00:00,33.8,0.0,5.7,Clear
2023-10-07 18:00:00,32.3,0.0,7.0,Clear
2023-10-07 19:00:00,18.2,0.0,9.5,Clear
2023-10-07 20:00:00,34.5,0.0,7.0,Clear
2023-10-07 21:00:00,25.4,0.0,9.3,Partly Cloudy
2023-10-07 22:00:00,16.5,0.0,1.2,Fog
2023-10-07 23:00:00,24.7,0.0,1.2,Fog
